KODE,NAMA BAHAN,AIR (g),Energi (Kal),Protein (g),LEMAK,KH (g),SERAT,ABU,KALSIUM,FOSFOR,BESI,NATRIUM,KALIUM,TEMBAGA,SENG,RETINOL,B-KAR,KAR-TOTAL,THIAMIN,RIBOFLAVIN,NIASIN,VIT_C,GULA
HM007,"Telur bebek, bagian
putih, segar",88.0,54,11.0,0.0,0.8,0.0,0.2,21,20,0.1,184,150.2,0.13,0.1,0,0,,0.01,0.02,0.1,0,0
HM008,"Telur bebek tambak,
segar",67.7,187,10.9,12.4,7.9,0.0,1.1,64,295,5.4,209,146.0,0.40,1.8,378,471,375,1.62,0.03,0.1,,0
HM009,"Telur burung maleo,
segar",36.0,436,26.5,36.3,0.4,,0.8,154,120,4.3,77,333.0,0.40,2.9,3987,,,,1.00,0.2,,0
HM010,"Telur penyu, segar",7.4,136,8.6,10.1,2.7,0.0,1.2,66,282,3.4,478,115.0,0.50,1.4,82,17,,0.21,0.02,0.0,0,0
HM011,"Telur burung puyuh,
segar",79.8,116,10.7,7.0,1.6,0.0,0.9,65,191,3.5,111,11.0,0.05,1.2,95,80,,0.13,0.65,0.1,0,0
HO001,"Telur ayam, dadar,
masakan",61.9,251,16.3,19.4,1.4,0.0,1.0,62,250,2.5,,,,,36,,221,0.21,0.00,,0,0
HO002,"Telur bebek, asin,
mentah",66.5,179,13.6,13.3,4.4,0.0,2.2,120,157,1.8,483,140.1,,,253,13,,0.28,0.98,0.6,0,0
HO003,"Telur bebek, dadar,
masakan",55.1,301,20.0,23.7,0.0,0.0,1.2,71,600,9.2,,,,,122,,613,0.35,,,0,0
HO004,"Ikan, telur, asin,
mentah",37.8,358,20.7,26.4,9.4,0.0,5.7,48,311,15.1,2684,59.0,0.40,3.0,1866,0,,0.21,0.54,2.1,,0
HO005,"Bayau mi balu,
masakan",36.1,313,6.0,12.2,44.8,,0.9,,,,,,,,783,89,,0.14,0.27,9.7,,0
HO006,"Cucuru bayau,
masakan",35.0,349,6.8,18.7,38.3,,1.2,,,,,,,,,123,,0.06,0.25,0.0,,0
